"compound","keggid","number","Pathway_Description"
"Hydrogen peroxide","C00027","hsa05012","Parkinson disease"
"Manganese","C00034","hsa05012","Parkinson disease"
"Calcium cation","C00076","hsa05012","Parkinson disease"
"L-Tyrosine","C00082","hsa05012","Parkinson disease"
"Diacylglycerol","C00165","hsa05012","Parkinson disease"
"Adenosine","C00212","hsa05012","Parkinson disease"
"3,4-Dihydroxy-L-phenylalanine","C00355","hsa05012","Parkinson disease"
"3',5'-Cyclic AMP","C00575","hsa05012","Parkinson disease"
"Superoxide","C00704","hsa05012","Parkinson disease"
"D-myo-Inositol 1,4,5-trisphosphate","C01245","hsa05012","Parkinson disease"
"Dopamine","C03758","hsa05012","Parkinson disease"
"3,4-Dihydroxyphenylacetaldehyde","C04043","hsa05012","Parkinson disease"
"1-Methyl-4-phenyl-1,2,3,6-tetrahydropyridine","C04599","hsa05012","Parkinson disease"
"Rotenone","C07593","hsa05012","Parkinson disease"
"1-Methyl-4-phenylpyridinium","C11310","hsa05012","Parkinson disease"
"Paraquat","C14701","hsa05012","Parkinson disease"
"Maneb","C15231","hsa05012","Parkinson disease"
"Hydroxyl radical","C16844","hsa05012","Parkinson disease"
"Dopamine quinone","C17755","hsa05012","Parkinson disease"
"Reactive oxygen species","C22381","hsa05012","Parkinson disease"
"H2O","C00001","hsa05014","Amyotrophic lateral sclerosis"
"ADP","C00008","hsa05014","Amyotrophic lateral sclerosis"
"L-Glutamate","C00025","hsa05014","Amyotrophic lateral sclerosis"
"Hydrogen peroxide","C00027","hsa05014","Amyotrophic lateral sclerosis"
"DNA","C00039","hsa05014","Amyotrophic lateral sclerosis"
"RNA","C00046","hsa05014","Amyotrophic lateral sclerosis"
"L-Arginine","C00062","hsa05014","Amyotrophic lateral sclerosis"
"Copper","C00070","hsa05014","Amyotrophic lateral sclerosis"
"Calcium cation","C00076","hsa05014","Amyotrophic lateral sclerosis"
"Nitric oxide","C00533","hsa05014","Amyotrophic lateral sclerosis"
"Superoxide","C00704","hsa05014","Amyotrophic lateral sclerosis"
"1-Phosphatidyl-1D-myo-inositol 3-phosphate","C04549","hsa05014","Amyotrophic lateral sclerosis"
"Hydroxyl radical","C16844","hsa05014","Amyotrophic lateral sclerosis"
"Peroxynitrite","C16845","hsa05014","Amyotrophic lateral sclerosis"
"L-Glutamate","C00025","hsa05016","Huntington disease"
"Calcium cation","C00076","hsa05016","Huntington disease"
"Potassium cation","C00238","hsa05016","Huntington disease"
"D-myo-Inositol 1,4,5-trisphosphate","C01245","hsa05016","Huntington disease"
"Sodium cation","C01330","hsa05016","Huntington disease"
"1-Phosphatidyl-1D-myo-inositol 3-phosphate","C04549","hsa05016","Huntington disease"
"L-Glutamate","C00025","hsa05017","Spinocerebellar ataxia"
"Calcium cation","C00076","hsa05017","Spinocerebellar ataxia"
"Diacylglycerol","C00165","hsa05017","Spinocerebellar ataxia"
"Potassium cation","C00238","hsa05017","Spinocerebellar ataxia"
"D-myo-Inositol 1,4,5-trisphosphate","C01245","hsa05017","Spinocerebellar ataxia"
"Sodium cation","C01330","hsa05017","Spinocerebellar ataxia"
"1-Phosphatidyl-1D-myo-inositol 3-phosphate","C04549","hsa05017","Spinocerebellar ataxia"
"Hydrogen peroxide","C00027","hsa05020","Prion disease"
"Calcium cation","C00076","hsa05020","Prion disease"
"3',5'-Cyclic AMP","C00575","hsa05020","Prion disease"
"Superoxide","C00704","hsa05020","Prion disease"
"Corticosterone","C02140","hsa05020","Prion disease"
"H2O","C00001","hsa05022","Pathways of neurodegeneration"
"ATP","C00002","hsa05022","Pathways of neurodegeneration"
"ADP","C00008","hsa05022","Pathways of neurodegeneration"
"Orthophosphate","C00009","hsa05022","Pathways of neurodegeneration"
"Peptide","C00012","hsa05022","Pathways of neurodegeneration"
"Diphosphate","C00013","hsa05022","Pathways of neurodegeneration"
"Protein","C00017","hsa05022","Pathways of neurodegeneration"
"AMP","C00020","hsa05022","Pathways of neurodegeneration"
"L-Glutamate","C00025","hsa05022","Pathways of neurodegeneration"
"Hydrogen peroxide","C00027","hsa05022","Pathways of neurodegeneration"
"L-Arginine","C00062","hsa05022","Pathways of neurodegeneration"
"Copper","C00070","hsa05022","Pathways of neurodegeneration"
"Calcium cation","C00076","hsa05022","Pathways of neurodegeneration"
"Diacylglycerol","C00165","hsa05022","Pathways of neurodegeneration"
"Nitric oxide","C00533","hsa05022","Pathways of neurodegeneration"
"Superoxide","C00704","hsa05022","Pathways of neurodegeneration"
"D-myo-Inositol 1,4,5-trisphosphate","C01245","hsa05022","Pathways of neurodegeneration"
"Sodium cation","C01330","hsa05022","Pathways of neurodegeneration"
"Acetylcholine","C01996","hsa05022","Pathways of neurodegeneration"
"1-Phosphatidyl-1D-myo-inositol 3-phosphate","C04549","hsa05022","Pathways of neurodegeneration"
"1-Methyl-4-phenyl-1,2,3,6-tetrahydropyridine","C04599","hsa05022","Pathways of neurodegeneration"
"Rotenone","C07593","hsa05022","Pathways of neurodegeneration"
"1-Methyl-4-phenylpyridinium","C11310","hsa05022","Pathways of neurodegeneration"
"Maneb","C15231","hsa05022","Pathways of neurodegeneration"
"Amyloid beta protein 40","C16514","hsa05022","Pathways of neurodegeneration"
"Amyloid beta protein 42","C16515","hsa05022","Pathways of neurodegeneration"
"Hydroxyl radical","C16844","hsa05022","Pathways of neurodegeneration"
"Peroxynitrite","C16845","hsa05022","Pathways of neurodegeneration"
"[Protein]-N(epsilon)-(carboxymethyl)lysine","C21011","hsa05022","Pathways of neurodegeneration"
"[Protein]-N(epsilon)-(carboxyethyl)lysine","C21012","hsa05022","Pathways of neurodegeneration"
"[Protein]-pyrraline","C21013","hsa05022","Pathways of neurodegeneration"
"[Protein]-pentosidine","C21014","hsa05022","Pathways of neurodegeneration"
"L-Glutamate","C00025","hsa05030","Cocaine addiction"
"Hydrogen peroxide","C00027","hsa05030","Cocaine addiction"
"L-Tyrosine","C00082","hsa05030","Cocaine addiction"
"3,4-Dihydroxy-L-phenylalanine","C00355","hsa05030","Cocaine addiction"
"3',5'-Cyclic AMP","C00575","hsa05030","Cocaine addiction"
"3,4-Dihydroxyphenylacetate","C01161","hsa05030","Cocaine addiction"
"Dopamine","C03758","hsa05030","Cocaine addiction"
"Cocaine (USP)","D00110","hsa05030","Cocaine addiction"
"L-Glutamate","C00025","hsa05031","Amphetamine addiction"
"Hydrogen peroxide","C00027","hsa05031","Amphetamine addiction"
"Calcium cation","C00076","hsa05031","Amphetamine addiction"
"L-Tyrosine","C00082","hsa05031","Amphetamine addiction"
"3,4-Dihydroxy-L-phenylalanine","C00355","hsa05031","Amphetamine addiction"
"3',5'-Cyclic AMP","C00575","hsa05031","Amphetamine addiction"
"3,4-Dihydroxyphenylacetate","C01161","hsa05031","Amphetamine addiction"
"Sodium cation","C01330","hsa05031","Amphetamine addiction"
"Dopamine","C03758","hsa05031","Amphetamine addiction"
"Amfetamine (INN)","D07445","hsa05031","Amphetamine addiction"
"AMP","C00020","hsa05032","Morphine addiction"
"Calcium cation","C00076","hsa05032","Morphine addiction"
"Adenosine","C00212","hsa05032","Morphine addiction"
"Potassium cation","C00238","hsa05032","Morphine addiction"
"4-Aminobutanoate","C00334","hsa05032","Morphine addiction"
"3',5'-Cyclic AMP","C00575","hsa05032","Morphine addiction"
"Cl-","C00698","hsa05032","Morphine addiction"
"Dopamine","C03758","hsa05032","Morphine addiction"
"Morphine sulfate (USP)","D00842","hsa05032","Morphine addiction"
"Morphine hydrochloride hydrate (JP18)","D02271","hsa05032","Morphine addiction"
"Morphine (BAN)","D08233","hsa05032","Morphine addiction"
"Morphine tartrate","D08234","hsa05032","Morphine addiction"
"L-Glutamate","C00025","hsa05033","Nicotine addiction"
"Calcium cation","C00076","hsa05033","Nicotine addiction"
"4-Aminobutanoate","C00334","hsa05033","Nicotine addiction"
"Cl-","C00698","hsa05033","Nicotine addiction"
"Nicotine","C00745","hsa05033","Nicotine addiction"
"Sodium cation","C01330","hsa05033","Nicotine addiction"
"Acetylcholine","C01996","hsa05033","Nicotine addiction"
"L-Glutamate","C00025","hsa05034","Alcoholism"
"Hydrogen peroxide","C00027","hsa05034","Alcoholism"
"Calcium cation","C00076","hsa05034","Alcoholism"
"L-Tyrosine","C00082","hsa05034","Alcoholism"
"Adenosine","C00212","hsa05034","Alcoholism"
"3,4-Dihydroxy-L-phenylalanine","C00355","hsa05034","Alcoholism"
"Ethanol","C00469","hsa05034","Alcoholism"
"3',5'-Cyclic AMP","C00575","hsa05034","Alcoholism"
"3,4-Dihydroxyphenylacetate","C01161","hsa05034","Alcoholism"
"Dopamine","C03758","hsa05034","Alcoholism"
"Ammonia","C00014","hsa05110","Vibrio cholerae infection"
"H+","C00080","hsa05110","Vibrio cholerae infection"
"Diacylglycerol","C00165","hsa05110","Vibrio cholerae infection"
"Potassium cation","C00238","hsa05110","Vibrio cholerae infection"
"3',5'-Cyclic AMP","C00575","hsa05110","Vibrio cholerae infection"
"Cl-","C00698","hsa05110","Vibrio cholerae infection"
"D-myo-Inositol 1,4,5-trisphosphate","C01245","hsa05110","Vibrio cholerae infection"
"Sodium cation","C01330","hsa05110","Vibrio cholerae infection"
"D-Galactosyl-N-acetyl-D-galactosaminyl-(N-acetylneuraminyl)-D-galactosyl-D-glucosylceramide","C04911","hsa05110","Vibrio cholerae infection"
"Ammonia","C00014","hsa05120","Epithelial cell signaling in Helicobacter pylori infection"
"H+","C00080","hsa05120","Epithelial cell signaling in Helicobacter pylori infection"
"Urea","C00086","hsa05120","Epithelial cell signaling in Helicobacter pylori infection"
"Cl-","C00698","hsa05120","Epithelial cell signaling in Helicobacter pylori infection"
"NH4+","C01342","hsa05120","Epithelial cell signaling in Helicobacter pylori infection"
"Sialyl Lewis x antigen","G00242","hsa05120","Epithelial cell signaling in Helicobacter pylori infection"
"IV2Fuc,III4Fuc-Lc4-Cer","G00263","hsa05120","Epithelial cell signaling in Helicobacter pylori infection"
"Lipopolysaccharide","C00338","hsa05130","Pathogenic Escherichia coli infection"
"Phosphatidylethanolamine","C00350","hsa05130","Pathogenic Escherichia coli infection"
"1-Acyl-sn-glycerol 3-phosphate","C00681","hsa05130","Pathogenic Escherichia coli infection"
"Calcium cation","C00076","hsa05131","Shigellosis"
"L-Leucine","C00123","hsa05131","Shigellosis"
"Diacylglycerol","C00165","hsa05131","Shigellosis"
"Potassium cation","C00238","hsa05131","Shigellosis"
"Lipopolysaccharide","C00338","hsa05131","Shigellosis"
"L-Isoleucine","C00407","hsa05131","Shigellosis"
"D-myo-Inositol 1,4,5-trisphosphate","C01245","hsa05131","Shigellosis"
"1-Phosphatidyl-1D-myo-inositol 3-phosphate","C04549","hsa05131","Shigellosis"
"1-Phosphatidyl-D-myo-inositol 4,5-bisphosphate","C04637","hsa05131","Shigellosis"
"alpha-D-Galactosyl-(1->4)-beta-D-galactosyl-(1->4)-beta-D-glucosyl-(1<->1)-ceramide","C04737","hsa05131","Shigellosis"
"Phosphatidylinositol-3,4,5-trisphosphate","C05981","hsa05131","Shigellosis"
"D-glycero-beta-D-manno-Heptose 1,7-bisphosphate","C11472","hsa05131","Shigellosis"
"1-Phosphatidyl-1D-myo-inositol 5-phosphate","C11557","hsa05131","Shigellosis"
"Cyclic GMP-AMP","C20640","hsa05131","Shigellosis"
"Lipopolysaccharide","C00338","hsa05132","Salmonella infection"
"1-Phosphatidyl-D-myo-inositol","C01194","hsa05132","Salmonella infection"
"1-Phosphatidyl-1D-myo-inositol 3-phosphate","C04549","hsa05132","Salmonella infection"
"Phosphatidylinositol-3,4,5-trisphosphate","C05981","hsa05132","Salmonella infection"
"1-Phosphatidyl-1D-myo-inositol 3,4-bisphosphate","C11554","hsa05132","Salmonella infection"
"ATP","C00002","hsa05133","Pertussis"
"Calcium cation","C00076","hsa05133","Pertussis"
"Potassium cation","C00238","hsa05133","Pertussis"
"Nicotinate","C00253","hsa05133","Pertussis"
"Lipopolysaccharide","C00338","hsa05133","Pertussis"
"Heparin","C00374","hsa05133","Pertussis"
"3',5'-Cyclic AMP","C00575","hsa05133","Pertussis"
"Glycolipid","C05005","hsa05133","Pertussis"
"Magnesium sulfate","C12505","hsa05133","Pertussis"
"Lipooligosaccharide","C19596","hsa05133","Pertussis"
"Lipopolysaccharide","C00338","hsa05134","Legionellosis"
"1-Phosphatidyl-1D-myo-inositol 4-phosphate","C01277","hsa05134","Legionellosis"
"Calcium cation","C00076","hsa05135","Yersinia infection"
"Lipopolysaccharide","C00338","hsa05135","Yersinia infection"
"D-myo-Inositol 1,4,5-trisphosphate","C01245","hsa05135","Yersinia infection"
"1-Phosphatidyl-D-myo-inositol 4,5-bisphosphate","C04637","hsa05135","Yersinia infection"
"Phosphatidylinositol-3,4,5-trisphosphate","C05981","hsa05135","Yersinia infection"
"Calcium cation","C00076","hsa05140","Leishmaniasis"
"N-Acylsphingosine","C00195","hsa05140","Leishmaniasis"
"Arachidonate","C00219","hsa05140","Leishmaniasis"
"Nitric oxide","C00533","hsa05140","Leishmaniasis"
"Prostaglandin E2","C00584","hsa05140","Leishmaniasis"
"Phosphatidylserine","C02737","hsa05140","Leishmaniasis"
"L-Arginine","C00062","hsa05142","Chagas disease"
"Calcium cation","C00076","hsa05142","Chagas disease"
"Nitric oxide","C00533","hsa05142","Chagas disease"
"3',5'-Cyclic AMP","C00575","hsa05142","Chagas disease"
"D-myo-Inositol 1,4,5-trisphosphate","C01245","hsa05142","Chagas disease"
"Phosphatidylinositol-3,4,5-trisphosphate","C05981","hsa05142","Chagas disease"
"Calcium cation","C00076","hsa05143","African trypanosomiasis"
"L-Tryptophan","C00078","hsa05143","African trypanosomiasis"
"Diacylglycerol","C00165","hsa05143","African trypanosomiasis"
"L-Kynurenine","C00328","hsa05143","African trypanosomiasis"
"Nitric oxide","C00533","hsa05143","African trypanosomiasis"
"Prostaglandin E2","C00584","hsa05143","African trypanosomiasis"
"Prostaglandin D2","C00696","hsa05143","African trypanosomiasis"
"D-myo-Inositol 1,4,5-trisphosphate","C01245","hsa05143","African trypanosomiasis"
"Nitric oxide","C00533","hsa05144","Malaria"
"Chondroitin 4-sulfate","C00634","hsa05144","Malaria"
"Type II B antigen","G00052","hsa05144","Malaria"
"Type II A antigen","G00054","hsa05144","Malaria"
"Hyaluronic acid","G10505","hsa05144","Malaria"
"Calcium cation","C00076","hsa05145","Toxoplasmosis"
"Phosphatidylinositol-3,4,5-trisphosphate","C05981","hsa05145","Toxoplasmosis"
"Lipoxin A4","C06314","hsa05145","Toxoplasmosis"
"Hydrogen peroxide","C00027","hsa05146","Amoebiasis"
"L-Arginine","C00062","hsa05146","Amoebiasis"
"Calcium cation","C00076","hsa05146","Amoebiasis"
"Diacylglycerol","C00165","hsa05146","Amoebiasis"
"Arachidonate","C00219","hsa05146","Amoebiasis"
"Nitric oxide","C00533","hsa05146","Amoebiasis"
"3',5'-Cyclic AMP","C00575","hsa05146","Amoebiasis"
"Prostaglandin E2","C00584","hsa05146","Amoebiasis"
"N-Acetylgalactosamine","C01074","hsa05146","Amoebiasis"
"D-myo-Inositol 1,4,5-trisphosphate","C01245","hsa05146","Amoebiasis"
"Gelatine","C01498","hsa05146","Amoebiasis"
"Phosphatidylserine","C02737","hsa05146","Amoebiasis"
"Monocyte locomotion inhibitory factor","C18287","hsa05146","Amoebiasis"
"FMLP","C11596","hsa05150","Staphylococcus aureus infection"
"Lipoteichoic acid","C20898","hsa05150","Staphylococcus aureus infection"
"Calcium cation","C00076","hsa05152","Tuberculosis"
"Lipopolysaccharide","C00338","hsa05152","Tuberculosis"
"1-Phosphatidyl-D-myo-inositol","C01194","hsa05152","Tuberculosis"
"Calcidiol","C01561","hsa05152","Tuberculosis"
"Calcitriol","C01673","hsa05152","Tuberculosis"
"1-Phosphatidyl-1D-myo-inositol 3-phosphate","C04549","hsa05152","Tuberculosis"
"Sphingosine 1-phosphate","C06124","hsa05152","Tuberculosis"
"Trehalose-6,6'-dibehenate","C19190","hsa05152","Tuberculosis"
"Trehalose dimycolate","C21790","hsa05152","Tuberculosis"
"Lipomannan","G13101","hsa05152","Tuberculosis"
"Triacylated phosphatidyl-myo-inositol pentamannoside","G13105","hsa05152","Tuberculosis"
"Triacylated phosphatidyl-myo-inositol hexamannoside","G13106","hsa05152","Tuberculosis"
"Triacylated phosphatidyl-myo-inositol dimannoside","G13108","hsa05152","Tuberculosis"
"Tetraacylated phosphatidyl-myo-inositol dimannoside","G13109","hsa05152","Tuberculosis"
"Tetraacylated phosphatidyl-myo-inositol hexamannoside","G13112","hsa05152","Tuberculosis"
"Tetraacylated phosphatidyl-myo-inositol pentamannoside","G13113","hsa05152","Tuberculosis"
"Lipoarabinomannan","G13114","hsa05152","Tuberculosis"
"Mannose-capped lipoarabinomannan","G13115","hsa05152","Tuberculosis"
"Phosphatidylinositol-3,4,5-trisphosphate","C05981","hsa05160","Hepatitis C"
"2-5A","C20935","hsa05160","Hepatitis C"
"Calcium cation","C00076","hsa05161","Hepatitis B"
"Phosphatidylinositol-3,4,5-trisphosphate","C05981","hsa05162","Measles"
"Calcium cation","C00076","hsa05163","Human cytomegalovirus infection"
"Diacylglycerol","C00165","hsa05163","Human cytomegalovirus infection"
"Prostaglandin E2","C00584","hsa05163","Human cytomegalovirus infection"
"D-myo-Inositol 1,4,5-trisphosphate","C01245","hsa05163","Human cytomegalovirus infection"
